title,rating,genre
Koukyoushihen Eureka Seven,8.09,"Adventure, Drama, Mecha, Romance, Sci-Fi"
Rekka no Honoo,7.36,"Action, Adventure, Martial Arts, Shounen, Super Power"
Gankutsuou,8.17,"Drama, Mystery, Sci-Fi, Supernatural, Thriller"
Genshiken,7.66,"Slice of Life, Comedy, Parody"
Girls Bravo: First Season,6.45,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen"
Gokusen,7.42,"Slice of Life, Comedy, Drama, School, Josei"
Gravitation,7.02,"Comedy, Music, Romance, Shoujo, Shounen Ai"
Agatha Christie no Meitantei Poirot to Marple,6.88,"Historical, Mystery"
Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen"
Groove Adventure Rave,7.27,"Adventure, Comedy, Fantasy, Romance, Shounen"
Harukanaru Toki no Naka de: Hachiyou Shou,7.05,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo"
Ichigo 100%,6.68,"Comedy, Ecchi, Harem, Romance, Shounen"
InuYasha,7.85,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
Konjiki no Gash Bell!!,7.55,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen"
Kyou kara Maou!,7.7,"Adventure, Comedy, Demons, Fantasy, Shoujo"
Madlax,7.07,"Military, Mystery, Psychological, Supernatural, Drama, Magic, Shounen"
Jungle wa Itsumo Hare nochi Guu,7.84,"Slice of Life, Comedy, School"
Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,"Comedy, Slice of Life"
Jungle wa Itsumo Hare nochi Guu Final,7.65,"Slice of Life, Comedy"
Hoshi no Koe,7.22,"Sci-Fi, Space, Drama, Romance, Mecha"
Ikkitousen,6.45,"Ecchi, Super Power, Martial Arts, School"
Hitsuji no Uta,6.23,"Horror, Drama, Vampire"
Happy☆Lesson,6.64,"Comedy, Harem, Romance, School"
Happy☆Lesson (TV),6.67,"Comedy, Drama, Harem, Romance, Slice of Life"
Happy☆Lesson: Advance,6.84,"Comedy, Harem, Romance, Slice of Life"
Happy☆Lesson: The Final,6.83,"Comedy, Harem, Romance, School"
Hajime no Ippo,8.75,"Comedy, Sports, Drama, Shounen"
Hajime no Ippo: Champion Road,8.29,"Comedy, Shounen, Sports"
Hajime no Ippo: Mashiba vs. Kimura,8.23,"Comedy, Sports, Shounen"
Gunparade March: Arata Naru Kougunka,6.8,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life"
Gungrave,7.87,"Action, Drama, Sci-Fi, Seinen, Super Power"
Golden Boy,8.03,"Adventure, Comedy, Ecchi"
Bleach,7.8,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
Hellsing,7.5,"Action, Horror, Supernatural, Vampire, Seinen"
Gad Guard,6.7,"Sci-Fi, Adventure, Mecha, Shounen"
Noir,7.31,"Action, Mystery, Drama"
Mahoutsukai ni Taisetsu na Koto,6.75,"Slice of Life, Drama, Magic, Shounen"
Kiddy Grade,7.22,"Action, Sci-Fi, Super Power, Ecchi, Mecha"
Love♥Love?,5.91,"Ecchi, Comedy, Harem, Romance"
Mahoromatic: Automatic Maiden,7.18,"Comedy, Ecchi, Military, Romance, Sci-Fi"
Mahoromatic: Motto Utsukushii Mono,7.17,"Military, Sci-Fi, Comedy, Drama, Romance, Ecchi"
Viewtiful Joe,6.75,"Action, Sci-Fi, Comedy, Shounen"
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.15,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural"
Animal Yokochou,6.83,"Adventure, Comedy, Fantasy, Shoujo"
Akane Maniax,5.74,"Comedy, Mecha, Romance"
Angel Heart,7.3,"Action, Mystery, Drama, Romance, Seinen"
Akage no Anne,7.7,"Slice of Life, Historical, Drama"
Area 88 (TV),7.03,"Action, Drama, Military, Romance, Shounen"
Argento Soma,6.8,"Action, Adventure, Drama, Mecha, Military, Sci-Fi"
B'T X,7.05,"Adventure, Mecha, Sci-Fi, Shounen"
Grappler Baki (TV),7.44,"Action, Sports, Martial Arts, Shounen"
Bakuten Shoot Beyblade,6.73,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen"
Comic Party,6.59,"Comedy, Drama"
Seikai no Monshou,7.69,"Action, Military, Sci-Fi, Space, Romance"
D.C.S.S: Da Capo Second Season,7.01,"Comedy, Harem, Romance, Supernatural, Drama"
Dear Boys,6.85,"Drama, Shounen, Sports"
Di Gi Charat,6.73,"Comedy, Fantasy, Sci-Fi"
Divergence Eve,5.93,"Adventure, Comedy, Drama, Mecha, Military, Sci-Fi, Space"
Divergence Eve 2: Misaki Chronicles,6.3,"Adventure, Drama, Mecha, Military, Sci-Fi, Space"
Dragon Drive,6.73,"Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen"
Grenadier: Hohoemi no Senshi,6.72,"Action, Ecchi, Adventure, Comedy, Shounen"
.hack//Tasogare no Udewa Densetsu,6.6,"Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen"
.hack//Liminality,6.61,"Game, Mystery, Sci-Fi"
3x3 Eyes,6.77,"Action, Demons, Fantasy, Horror, Romance"
Cinderella Boy,6.32,"Action, Adventure, Mystery, Comedy, Seinen"
Mirai Shounen Conan,8.09,"Adventure, Drama, Sci-Fi"
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.92,"Comedy, Magic, Supernatural"
Aa! Megami-sama! Movie,7.57,"Comedy, Magic, Romance, Seinen, Supernatural"
Abashiri Ikka,5.39,"Action, Comedy, Shounen"
Abenobashi Mahou☆Shoutengai,7.26,"Comedy, Parody, Ecchi, Fantasy"
Kerokko Demetan,6.01,"Kids, Fantasy, Comedy"
Zettai Shounen,6.94,"Sci-Fi, Mystery, Drama, Fantasy, Shounen"
Akahori Gedou Hour Rabuge,6.16,"Comedy, Magic, Parody"
"Chiisana Obake: Acchi, Kocchi, Socchi",5.98,"Comedy, Supernatural"
Ace wo Nerae!,7.02,"Sports, Drama, Romance, School, Shoujo"
Ace wo Nerae!: Final Stage,6.52,"Action, Drama, Sports"
Ace wo Nerae! (1979),6.83,"Sports, Drama, Romance, School, Shoujo"
Ace wo Nerae! 2,6.87,"Drama, Shoujo, Sports"
Xiao Qian,6.5,"Action, Drama, Fantasy, Romance"
Nageki no Kenkou Yuuryouji,6.19,"Comedy, Hentai, Yuri"
Final Fantasy VII: Advent Children,7.76,"Action, Super Power, Fantasy"
Hand Maid May,6.73,"Comedy, Ecchi, Harem, Romance, Sci-Fi"
Happy World!,6.02,"Ecchi, Fantasy, Comedy, Romance"
A Kite,6.56,"Action, Hentai, Police, Drama"
Najica Dengeki Sakusen,6,"Action, Ecchi, Comedy, Sci-Fi"
Paradise Kiss,7.83,"Comedy, Drama, Josei, Romance, Slice of Life"
Mousou Dairinin,7.68,"Mystery, Dementia, Police, Psychological, Supernatural, Drama, Thriller"
Kidou Keisatsu Patlabor: On Television,7.69,"Comedy, Mecha, Police, Sci-Fi"
Peach Girl,7,"Slice of Life, Drama, Romance, School, Shoujo"
Petshop of Horrors,7.27,"Horror, Josei, Mystery, Supernatural"
Puchi Pri*Yucie,7.42,"Comedy, Magic, Fantasy, Shoujo"
Piano (TV),6.02,"Music, Slice of Life, Drama, Romance, Shoujo"
Planetes,8.31,"Drama, Romance, Sci-Fi, Seinen, Space"
Midori no Hibi,7.28,"Comedy, Drama, Romance, Ecchi, Shounen"
Mahoujin Guruguru,7.61,"Adventure, Comedy, Magic, Fantasy, Shounen"
Dokidoki♡Densetsu: Mahoujin Guruguru,7.19,"Adventure, Comedy, Magic, Fantasy, Shounen"
Mama wa Shougaku 4 Nensei,7.21,"Comedy, Drama, Sci-Fi"
Marmalade Boy,7.49,"Comedy, Drama, Romance, Shoujo"
Matantei Loki Ragnarok,7.29,"Comedy, Magic, Mystery, Shounen, Supernatural"
Ginyuu Mokushiroku Meine Liebe,6.46,"Fantasy, Shoujo"
Psychic Academy,6.24,"Comedy, Romance, Supernatural"
Versailles no Bara,8.33,"Military, Historical, Drama, Romance, Shoujo"
Serial Experiments Lain,8.03,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural"
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.59,"Action, Historical, Martial Arts, Samurai, Shounen"
Spiral: Suiri no Kizuna,7.25,"Drama, Mystery, Shounen"
Starship Operators,7,"Drama, Military, Sci-Fi, Space"
Tsukuyomi: Moon Phase,7,"Comedy, Romance, Vampire, Fantasy, Seinen"
Futatsu no Spica,7.37,"Sci-Fi, Supernatural, Drama, School"
Eikoku Koi Monogatari Emma,7.67,"Slice of Life, Historical, Drama, Romance, Seinen"
W: Wish,6.19,"Drama, Harem, Romance, School, Slice of Life"
Wild Arms: Twilight Venom,6.66,"Action, Sci-Fi, Adventure, Magic, Vampire, Fantasy"
Binzume Yousei,6.45,"Comedy, Fantasy, Magic, Slice of Life"
Magical Canan,6.19,"Supernatural, Drama, Magic, Fantasy"
Ojamajo Doremi,7.21,"Comedy, Magic"
Ojamajo Doremi Sharp,7.34,"Comedy, Magic, Shoujo"
Motto! Ojamajo Doremi,7.34,"Magic, Fantasy, Comedy, Shoujo"
Ojamajo Doremi Dokkaan!,7.59,"Comedy, Magic, Shoujo"
UG☆Ultimate Girls,5.63,"Comedy, Ecchi, Magic, Sci-Fi"
Shakugan no Shana,7.51,"Action, Drama, Fantasy, Romance, School, Supernatural"
Fate/stay night,7.34,"Action, Supernatural, Magic, Romance, Fantasy"
Bokusatsu Tenshi Dokuro-chan,6.59,"Comedy, Magic, Ecchi"
